dataset,method_key,method,retention,retention_kind,image_id,question_id,question,prediction,ground_truth,correct,first_token_id,generated_tokens,physical_layout,calibration_questions,retrieval,selector_ms,ssd_read_ms,scatter_ms,prepare_ms,prefill_ms,ttft_ms,decode_ms,e2e_latency_ms,ssd_read_bytes,ssd_read_chunks,ssd_preads,chunk_io_ms,hook_ms,n_chunks_selected,n_chunks_total,touched_chunk_fraction,logical_kv_ratio,logical_kv_ratio_per_layer,fallback_rate,normal_chunk_count_total,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,total_actual_pread_bytes,mean_bytes_per_pread,normal_mean_bytes_per_pread,separator_mean_bytes_per_pread,static_score_calls,query_score_calls,diversity_calls,selection_mode,selected_chunk_ids_per_layer,separator_policy,reordered_prefix_store_validated,validated_prefix_layout,n_raters
gqa,fullload,FullLoad,1.0,full,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,3869,2,raster,0,fullload,,436.05155078694224,,,985.4586899746209,993.8450250774622,24.313558940775692,1018.1585840182379,1124073472,2176,64,,647.7455208078027,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,The image shows a tennis match in progress. The player in the foreground is,"[""yes""]",0.0,450,16,raster,0,prefix,0.2194480039179325,169.50316075235605,47.559679951518774,248.86044999584556,37.17511799186468,286.08190291561186,269.22717108391225,555.3090739995241,285212672,512,65,194.75634745322168,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,raster,0
gqa,fullload,FullLoad,1.0,full,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,3869,2,raster,0,fullload,,392.6034508040175,,,628.7651179591194,633.4763509221375,19.093747017905116,652.5700979400426,1124073472,2176,64,,581.0043752426282,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,The image shows a tennis match in progress. The player in the foreground is,"[""yes""]",0.0,450,16,raster,0,prefix,0.16286864411085844,146.99330483563244,40.00351007562131,212.0643889065832,36.80735593661666,248.9197339164093,268.50146905053407,517.4212029669434,285212672,512,65,166.6444552829489,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,raster,0
gqa,fullload,FullLoad,1.0,full,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,8218,3,raster,0,fullload,,460.59406956192106,,,705.3480229806155,709.9368469789624,40.99918599240482,750.9360329713672,1124073472,2176,64,,655.5584784364328,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751873,How large is the wire net?,The image shows a tennis match in progress. The player in the foreground is,"[""small""]",0.0,450,16,raster,0,prefix,0.1537709031254053,155.41980136185884,39.82737218029797,219.64297303929925,33.950834069401026,253.63485305570066,271.84779895469546,525.4826520103961,285212672,512,65,174.55861123744398,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,raster,0
gqa,fullload,FullLoad,1.0,full,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,8037,2,raster,0,fullload,,435.1581410737708,,,710.8605479588732,715.4710249742493,19.175317022018135,734.6463419962674,1124073472,2176,64,,653.2510967226699,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,The image shows a tennis match in progress. The player in the foreground is,"[""blond""]",0.0,450,16,raster,0,prefix,0.22011494729667902,163.09328086208552,47.37394384574145,240.24119705427438,56.28175497986376,296.5859069954604,266.74556906800717,563.3314760634676,285212672,512,65,187.2438892023638,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,raster,0
gqa,fullload,FullLoad,1.0,full,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,1939,2,raster,0,fullload,,428.47975238692015,,,697.1376499859616,701.9137579482049,18.93754897173494,720.8513069199398,1124073472,2176,64,,638.7352931778878,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751862,Is the tennis net rectangular and small?,The image shows a tennis match in progress. The player in the foreground is,"[""yes""]",0.0,450,16,raster,0,prefix,0.15852064825594425,156.4665356418118,40.1922530727461,221.4457489317283,34.52982800081372,256.02315296418965,277.62186096515507,533.6450139293447,285212672,512,65,175.94303481746465,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,raster,0
