dataset,method_key,method,retention,retention_kind,image_id,question_id,question,prediction,ground_truth,correct,generated_tokens,selector_ms,ssd_read_ms,scatter_ms,prepare_ms,prefill_ms,ttft_ms,decode_ms,e2e_latency_ms,ssd_read_bytes,ssd_read_chunks,ssd_preads,chunk_io_ms,hook_ms,n_chunks_selected,n_chunks_total,touched_chunk_fraction,logical_kv_ratio,logical_kv_ratio_per_layer,fallback_rate,normal_chunk_count_total,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,total_actual_pread_bytes,static_score_calls,query_score_calls,diversity_calls,selection_mode,selected_chunk_ids_per_layer,separator_policy,reordered_prefix_store_validated,n_raters
gqa,fullload,FullLoad,1.0,full,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,480.6437970837578,,,1025.2445939695463,1033.6587219499052,43.334013083949685,1076.9927350338548,1124073472,2176,64,,710.0984927965328,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,,,,,null,,,0
gqa,reorder_prefix_chunk,Reorder+Prefix,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,0.1845292281359434,142.42960477713495,44.98191783204675,217.11233910173178,37.25484502501786,254.41037805285305,18.61376198939979,273.02414004225284,285212672,512,65,166.05870053172112,0.0,8.0,34,0.23529411764705882,0.2431494869402985,"[0.23880597014925373, 0.23880597014925373, 0.2490671641791045, 0.24067164179104478, 0.24113805970149255, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.2392723880597015, 0.23880597014925373, 0.24953358208955223, 0.25, 0.24860074626865672, 0.24860074626865672, 0.24580223880597016, 0.25, 0.24860074626865672, 0.24813432835820895, 0.24720149253731344, 0.24486940298507462, 0.2462686567164179, 0.23880597014925373, 0.24207089552238806, 0.24253731343283583, 0.24300373134328357, 0.24300373134328357, 0.24347014925373134, 0.24207089552238806]",0.0,256,268435456,16777216,64,1,285212672,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,0
gqa,static_diverse_chunk,Static+Diverse,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,15.713301836512983,198.31756490748376,52.47395660262555,302.71168798208237,56.116363033652306,358.88912400696427,19.23116995021701,378.1202939571813,283639808,512,275,228.581648087129,0.0,8.0,34,0.23529411764705882,0.2431640625,"[0.23880597014925373, 0.22388059701492538, 0.24860074626865672, 0.2439365671641791, 0.24300373134328357, 0.23973880597014927, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.24300373134328357, 0.24207089552238806, 0.24253731343283583, 0.24860074626865672, 0.2513992537313433, 0.25, 0.24860074626865672, 0.24813432835820895, 0.25093283582089554, 0.25093283582089554, 0.24720149253731344, 0.24860074626865672, 0.23180970149253732, 0.24813432835820895, 0.2439365671641791, 0.2439365671641791, 0.22901119402985073, 0.24580223880597016, 0.24440298507462688, 0.24486940298507462, 0.2453358208955224]",0.0,256,266862592,16777216,274,1,283639808,32,0,32,static_diverse,"[[0, 4, 6, 7, 8, 10, 11, 22], [0, 1, 2, 3, 4, 6, 10, 33], [0, 1, 2, 3, 5, 9, 15, 21], [0, 1, 2, 3, 4, 6, 10, 26], [0, 1, 2, 3, 4, 7, 23, 30], [0, 1, 2, 3, 6, 7, 13, 28], [0, 1, 2, 3, 4, 5, 27, 30], [0, 1, 2, 3, 4, 5, 29, 31], [0, 1, 2, 3, 4, 5, 28, 31], [0, 1, 2, 3, 4, 5, 28, 32], [0, 1, 2, 3, 4, 5, 29, 32], [0, 1, 3, 4, 5, 8, 28, 32], [0, 1, 3, 4, 5, 8, 28, 31], [0, 1, 2, 4, 5, 8, 28, 32], [0, 2, 3, 6, 7, 10, 27, 32], [0, 1, 2, 3, 8, 9, 24, 32], [0, 1, 2, 3, 4, 7, 26, 31], [0, 1, 4, 5, 6, 9, 26, 32], [0, 1, 3, 5, 6, 7, 25, 32], [0, 1, 2, 3, 6, 7, 26, 32], [0, 1, 2, 4, 5, 8, 24, 30], [0, 1, 2, 3, 4, 8, 19, 29], [0, 1, 2, 3, 4, 7, 22, 31], [0, 1, 2, 3, 5, 9, 23, 33], [0, 1, 2, 5, 6, 12, 25, 32], [0, 1, 3, 4, 5, 7, 22, 31], [0, 1, 2, 3, 4, 6, 20, 32], [0, 1, 2, 3, 4, 7, 29, 33], [0, 1, 2, 5, 6, 8, 27, 31], [0, 1, 2, 3, 5, 6, 28, 32], [0, 1, 2, 6, 7, 8, 26, 32], [0, 1, 2, 3, 4, 7, 25, 31]]",sidecar,,0
gqa,fullload,FullLoad,1.0,full,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,,415.5135425971821,,,692.0378109207377,696.9582369783893,22.32047205325216,719.2787090316415,1124073472,2176,64,,636.0267192358151,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,,,,,null,,,0
gqa,reorder_prefix_chunk,Reorder+Prefix,0.25,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,0.257479608990252,118.70968935545534,54.16858079843223,207.636515959166,47.14162100572139,254.83712006825954,18.629957921802998,273.46707799006253,285212672,512,65,147.33445190358907,0.0,8.0,34,0.23529411764705882,0.2431494869402985,"[0.23880597014925373, 0.23880597014925373, 0.2490671641791045, 0.24067164179104478, 0.24113805970149255, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.2392723880597015, 0.23880597014925373, 0.24953358208955223, 0.25, 0.24860074626865672, 0.24860074626865672, 0.24580223880597016, 0.25, 0.24860074626865672, 0.24813432835820895, 0.24720149253731344, 0.24486940298507462, 0.2462686567164179, 0.23880597014925373, 0.24207089552238806, 0.24253731343283583, 0.24300373134328357, 0.24300373134328357, 0.24347014925373134, 0.24207089552238806]",0.0,256,268435456,16777216,64,1,285212672,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,0
gqa,static_diverse_chunk,Static+Diverse,0.25,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,16.975830192677677,206.0341185424477,56.20625172741711,318.48452298436314,53.70279599446803,372.2467649495229,18.796121003106236,391.04288595262915,283639808,512,275,239.21104858163744,0.0,8.0,34,0.23529411764705882,0.2431640625,"[0.23880597014925373, 0.22388059701492538, 0.24860074626865672, 0.2439365671641791, 0.24300373134328357, 0.23973880597014927, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.24300373134328357, 0.24207089552238806, 0.24253731343283583, 0.24860074626865672, 0.2513992537313433, 0.25, 0.24860074626865672, 0.24813432835820895, 0.25093283582089554, 0.25093283582089554, 0.24720149253731344, 0.24860074626865672, 0.23180970149253732, 0.24813432835820895, 0.2439365671641791, 0.2439365671641791, 0.22901119402985073, 0.24580223880597016, 0.24440298507462688, 0.24486940298507462, 0.2453358208955224]",0.0,256,266862592,16777216,274,1,283639808,32,0,32,static_diverse,"[[0, 4, 6, 7, 8, 10, 11, 22], [0, 1, 2, 3, 4, 6, 10, 33], [0, 1, 2, 3, 5, 9, 15, 21], [0, 1, 2, 3, 4, 6, 10, 26], [0, 1, 2, 3, 4, 7, 23, 30], [0, 1, 2, 3, 6, 7, 13, 28], [0, 1, 2, 3, 4, 5, 27, 30], [0, 1, 2, 3, 4, 5, 29, 31], [0, 1, 2, 3, 4, 5, 28, 31], [0, 1, 2, 3, 4, 5, 28, 32], [0, 1, 2, 3, 4, 5, 29, 32], [0, 1, 3, 4, 5, 8, 28, 32], [0, 1, 3, 4, 5, 8, 28, 31], [0, 1, 2, 4, 5, 8, 28, 32], [0, 2, 3, 6, 7, 10, 27, 32], [0, 1, 2, 3, 8, 9, 24, 32], [0, 1, 2, 3, 4, 7, 26, 31], [0, 1, 4, 5, 6, 9, 26, 32], [0, 1, 3, 5, 6, 7, 25, 32], [0, 1, 2, 3, 6, 7, 26, 32], [0, 1, 2, 4, 5, 8, 24, 30], [0, 1, 2, 3, 4, 8, 19, 29], [0, 1, 2, 3, 4, 7, 22, 31], [0, 1, 2, 3, 5, 9, 23, 33], [0, 1, 2, 5, 6, 12, 25, 32], [0, 1, 3, 4, 5, 7, 22, 31], [0, 1, 2, 3, 4, 6, 20, 32], [0, 1, 2, 3, 4, 7, 29, 33], [0, 1, 2, 5, 6, 8, 27, 31], [0, 1, 2, 3, 5, 6, 28, 32], [0, 1, 2, 6, 7, 8, 26, 32], [0, 1, 2, 3, 4, 7, 25, 31]]",sidecar,,0
gqa,fullload,FullLoad,1.0,full,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,,384.5299208769575,,,638.3820630144328,643.3338869828731,36.88180597964674,680.2156929625198,1124073472,2176,64,,583.8067369768396,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,,,,,null,,,0
gqa,reorder_prefix_chunk,Reorder+Prefix,0.25,chunk,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,0.25635736528784037,150.72418411727995,50.196870346553624,233.48969197832048,37.649224046617746,271.2025160435587,36.70132393017411,307.90383997373283,285212672,512,65,177.2278839489445,0.0,8.0,34,0.23529411764705882,0.2431494869402985,"[0.23880597014925373, 0.23880597014925373, 0.2490671641791045, 0.24067164179104478, 0.24113805970149255, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.2392723880597015, 0.23880597014925373, 0.24953358208955223, 0.25, 0.24860074626865672, 0.24860074626865672, 0.24580223880597016, 0.25, 0.24860074626865672, 0.24813432835820895, 0.24720149253731344, 0.24486940298507462, 0.2462686567164179, 0.23880597014925373, 0.24207089552238806, 0.24253731343283583, 0.24300373134328357, 0.24300373134328357, 0.24347014925373134, 0.24207089552238806]",0.0,256,268435456,16777216,64,1,285212672,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,0
gqa,static_diverse_chunk,Static+Diverse,0.25,chunk,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,11.524111148901284,197.4226803286001,43.714226223528385,282.613683026284,35.468747024424374,318.126140977256,36.73644596710801,354.862586944364,283639808,512,275,221.5938970912248,0.0,8.0,34,0.23529411764705882,0.2431640625,"[0.23880597014925373, 0.22388059701492538, 0.24860074626865672, 0.2439365671641791, 0.24300373134328357, 0.23973880597014927, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.24300373134328357, 0.24207089552238806, 0.24253731343283583, 0.24860074626865672, 0.2513992537313433, 0.25, 0.24860074626865672, 0.24813432835820895, 0.25093283582089554, 0.25093283582089554, 0.24720149253731344, 0.24860074626865672, 0.23180970149253732, 0.24813432835820895, 0.2439365671641791, 0.2439365671641791, 0.22901119402985073, 0.24580223880597016, 0.24440298507462688, 0.24486940298507462, 0.2453358208955224]",0.0,256,266862592,16777216,274,1,283639808,32,0,32,static_diverse,"[[0, 4, 6, 7, 8, 10, 11, 22], [0, 1, 2, 3, 4, 6, 10, 33], [0, 1, 2, 3, 5, 9, 15, 21], [0, 1, 2, 3, 4, 6, 10, 26], [0, 1, 2, 3, 4, 7, 23, 30], [0, 1, 2, 3, 6, 7, 13, 28], [0, 1, 2, 3, 4, 5, 27, 30], [0, 1, 2, 3, 4, 5, 29, 31], [0, 1, 2, 3, 4, 5, 28, 31], [0, 1, 2, 3, 4, 5, 28, 32], [0, 1, 2, 3, 4, 5, 29, 32], [0, 1, 3, 4, 5, 8, 28, 32], [0, 1, 3, 4, 5, 8, 28, 31], [0, 1, 2, 4, 5, 8, 28, 32], [0, 2, 3, 6, 7, 10, 27, 32], [0, 1, 2, 3, 8, 9, 24, 32], [0, 1, 2, 3, 4, 7, 26, 31], [0, 1, 4, 5, 6, 9, 26, 32], [0, 1, 3, 5, 6, 7, 25, 32], [0, 1, 2, 3, 6, 7, 26, 32], [0, 1, 2, 4, 5, 8, 24, 30], [0, 1, 2, 3, 4, 8, 19, 29], [0, 1, 2, 3, 4, 7, 22, 31], [0, 1, 2, 3, 5, 9, 23, 33], [0, 1, 2, 5, 6, 12, 25, 32], [0, 1, 3, 4, 5, 7, 22, 31], [0, 1, 2, 3, 4, 6, 20, 32], [0, 1, 2, 3, 4, 7, 29, 33], [0, 1, 2, 5, 6, 8, 27, 31], [0, 1, 2, 3, 5, 6, 28, 32], [0, 1, 2, 6, 7, 8, 26, 32], [0, 1, 2, 3, 4, 7, 25, 31]]",sidecar,,0
gqa,fullload,FullLoad,1.0,full,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,2,,330.40455426089466,,,561.4690470974892,566.4321971125901,19.930921960622072,586.3631190732121,1124073472,2176,64,,520.825595012866,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,,,,,null,,,0
