dataset,category_source,category_rule,dataset_interpretation,question_type,method,n_questions,score,score_pct,quality_delta_vs_fullload,quality_delta_vs_fullload_pp
gqa_large,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",yes/no,ReComp,530,0.7867924528301887,78.67924528301887,0.0018867924528301883,0.18867924528301883
gqa_large,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",yes/no,FullLoad,530,0.7849056603773585,78.49056603773586,0.0,0.0
gqa_large,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",yes/no,Prefix25,530,0.7358490566037735,73.58490566037736,-0.049056603773585006,-4.905660377358501
gqa_large,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",yes/no,Prefix45,530,0.7754716981132076,77.54716981132076,-0.009433962264150941,-0.9433962264150941
gqa_large,question-text regex heuristic,\bcolou?r|what colou?r\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",color,ReComp,67,0.44776119402985076,44.776119402985074,0.014925373134328401,1.4925373134328401
gqa_large,question-text regex heuristic,\bcolou?r|what colou?r\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",color,FullLoad,67,0.43283582089552236,43.28358208955223,0.0,0.0
gqa_large,question-text regex heuristic,\bcolou?r|what colou?r\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",color,Prefix25,67,0.29850746268656714,29.850746268656714,-0.13432835820895522,-13.432835820895523
gqa_large,question-text regex heuristic,\bcolou?r|what colou?r\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",color,Prefix45,67,0.40298507462686567,40.298507462686565,-0.02985074626865669,-2.985074626865669
gqa_large,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",spatial,ReComp,195,0.5025641025641026,50.256410256410255,0.0,0.0
gqa_large,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",spatial,FullLoad,195,0.5025641025641026,50.256410256410255,0.0,0.0
gqa_large,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",spatial,Prefix25,195,0.5025641025641026,50.256410256410255,0.0,0.0
gqa_large,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",spatial,Prefix45,195,0.5230769230769231,52.307692307692314,0.02051282051282055,2.051282051282055
gqa_large,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",material/attr,ReComp,64,0.703125,70.3125,0.03125,3.125
gqa_large,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",material/attr,FullLoad,64,0.671875,67.1875,0.0,0.0
gqa_large,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",material/attr,Prefix25,64,0.6875,68.75,0.015625,1.5625
gqa_large,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",material/attr,Prefix45,64,0.703125,70.3125,0.03125,3.125
gqa_large,question-text regex heuristic,^(what|which|who)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",object,ReComp,293,0.5051194539249146,50.51194539249146,0.0,0.0
gqa_large,question-text regex heuristic,^(what|which|who)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",object,FullLoad,293,0.5051194539249146,50.51194539249146,0.0,0.0
gqa_large,question-text regex heuristic,^(what|which|who)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",object,Prefix25,293,0.44368600682593856,44.36860068259386,-0.06143344709897608,-6.143344709897608
gqa_large,question-text regex heuristic,^(what|which|who)\b,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",object,Prefix45,293,0.48464163822525597,48.4641638225256,-0.020477815699658675,-2.0477815699658675
gqa_large,question-text regex heuristic,fallback after all preceding rules,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",other,ReComp,36,0.5,50.0,0.0,0.0
gqa_large,question-text regex heuristic,fallback after all preceding rules,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",other,FullLoad,36,0.5,50.0,0.0,0.0
gqa_large,question-text regex heuristic,fallback after all preceding rules,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",other,Prefix25,36,0.3888888888888889,38.88888888888889,-0.1111111111111111,-11.11111111111111
gqa_large,question-text regex heuristic,fallback after all preceding rules,"Exploratory GQA facets: yes/no, color, count, spatial, material/attribute, object, and fallback other.",other,Prefix45,36,0.5,50.0,0.0,0.0
