dataset,method_key,method,retention,retention_kind,image_id,question_id,question,prediction,ground_truth,correct,first_token_id,generated_tokens,physical_layout,calibration_questions,retrieval,selector_ms,ssd_read_ms,scatter_ms,prepare_ms,prefill_ms,ttft_ms,decode_ms,e2e_latency_ms,ssd_read_bytes,ssd_read_chunks,ssd_preads,chunk_io_ms,hook_ms,n_chunks_selected,n_chunks_total,touched_chunk_fraction,logical_kv_ratio,logical_kv_ratio_per_layer,fallback_rate,normal_chunk_count_total,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,total_actual_pread_bytes,mean_bytes_per_pread,normal_mean_bytes_per_pread,separator_mean_bytes_per_pread,static_score_calls,query_score_calls,diversity_calls,selection_mode,selected_chunk_ids_per_layer,separator_policy,reordered_prefix_store_validated,validated_prefix_layout,n_raters
gqa,fullload,FullLoad,1.0,full,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,3869,2,morton,0,fullload,,458.7529947748408,,,972.4611609708518,980.667162919417,23.016348015516996,1003.683510934934,1124073472,2176,64,,667.9131771670654,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,The image shows a tennis match in progress. The player in the foreground is,"[""yes""]",0.0,450,16,morton,0,prefix,0.23961788974702358,160.4604305466637,53.41438180767,247.9805259499699,46.76159692462534,294.8068749392405,272.0672090072185,566.874083946459,285212672,512,65,188.32710478454828,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,morton,0
gqa,fullload,FullLoad,1.0,full,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,3869,2,morton,0,fullload,,414.71312986686826,,,655.8030099840835,660.3841199539602,19.431882072240114,679.8160020262003,1124073472,2176,64,,599.7061639791355,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,The image shows a tennis match in progress. The court is blue with white lines,"[""yes""]",0.0,450,16,morton,0,prefix,0.17688528168946505,140.38351376075298,41.7090377304703,209.14077607449144,35.53721006028354,244.72005106508732,275.90776700526476,520.6278180703521,285212672,512,65,161.4738644566387,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,morton,0
gqa,fullload,FullLoad,1.0,full,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,8218,3,morton,0,fullload,,378.6963226739317,,,723.1499949702993,727.755828993395,37.41338104009628,765.1692100334913,1124073472,2176,64,,677.027674857527,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751873,How large is the wire net?,The image shows a tennis match in progress. The player in the foreground is,"[""small""]",0.0,450,16,morton,0,prefix,0.18662854563444853,150.77715122606605,44.93670188821852,223.79418602213264,37.982910056598485,261.82339200749993,268.37591803632677,530.1993100438267,285212672,512,65,173.4225801192224,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,morton,0
gqa,fullload,FullLoad,1.0,full,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,8037,2,morton,0,fullload,,418.48699643742293,,,803.7929920246825,808.4111559437588,27.028059004805982,835.4392149485648,1124073472,2176,64,,746.9344406854361,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,The image shows a tennis match in progress. The player in the foreground is,"[""blond""]",0.0,450,16,morton,0,prefix,0.19429228268563747,150.84075718186796,46.96205782238394,226.5861660707742,41.50338796898723,268.1530039990321,270.4778070328757,538.6308110319078,285212672,512,65,174.1116438060999,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,morton,0
gqa,fullload,FullLoad,1.0,full,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,1939,2,morton,0,fullload,,409.260161453858,,,774.2386610480025,778.9412990678102,18.794534960761666,797.7358340285718,1124073472,2176,64,,719.8559229727834,,,1.0,1.0,null,0.0,,1124073472,0,64,0,1124073472,17563648.0,17563648.0,0.0,,,,,null,,,,0
gqa,layout_prefix_chunk,Layout+Prefix,0.25,chunk,n355567,201751862,Is the tennis net rectangular and small?,The image shows a tennis match in progress. The player in the foreground is,"[""yes""]",0.0,450,16,morton,0,prefix,0.21958490833640099,151.049668318592,48.2347933575511,230.49124504905194,42.86389099434018,273.42084399424493,269.6048410143703,543.0256850086153,285212672,512,65,176.05323914904147,0.0,8.0,34,0.23529411764705882,0.2537313432835821,"[0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821, 0.2537313432835821]",0.0,256,268435456,16777216,64,1,285212672,4387887.261538462,4194304.0,16777216.0,0,0,0,prefix,"[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]",sidecar,True,morton,0
