image_id,question_id,question,question_type,gold,fullload_prediction,fullload_correct,prediction_20,correct_20,prediction_25,correct_25,prediction_30,correct_30,prediction_35,correct_35,prediction_40,correct_40,prediction_45,correct_45,prediction_50,correct_50,first_correct_budget,stable_correct_from_budget,prediction_stabilization_budget,wrong25_recovered_at_30_or_35,wrong25_never_recovers_through50,fullload_correct_but_50_wrong,fullload_correct_25wrong,fullload_correct_25wrong_recovered_at_30_or_35,fullload_correct_25wrong_never_recovers_through50
n355567,201751701,Is the clock to the right of the lady near the tennis ball?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n355567,201751740,Does the person to the left of the lady look happy and modern?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n355567,201751873,How large is the wire net?,material/attribute,"[""small""]",Large,0,Small,1,Small,1,Small,1,Small,1,Large,0,Large,0,Large,0,0.2,,0.4,False,False,False,False,False,False
n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,color,"[""blond""]",White,0,White,0,White,0,White,0,Blond,1,White,0,White,0,White,0,0.35,,0.4,True,False,False,False,False,False
n355567,201751862,Is the tennis net rectangular and small?,yes/no,"[""yes""]",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,,,0.2,False,True,False,False,False,False
n355567,201751594,What is the lady that is not antique playing with?,object,"[""tennis ball""]",Racket,0,Racket,0,Ball,0,Racket,0,Racket,0,Racket,0,Racket,0,Racket,0,,,0.3,False,True,False,False,False,False
n9181,20929611,Is the brown cowboy hat below the small sign?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n9181,20929389,Is the motorcycle near the jacket black and metallic?,yes/no,"[""no""]",No,1,No,1,No,1,Yes,0,No,1,No,1,No,1,No,1,0.2,0.35,0.35,False,False,False,False,False,False
n9181,20929384,Is the motorcycle on the right part?,yes/no,"[""no""]",No,1,Yes,0,No,1,No,1,No,1,No,1,No,1,No,1,0.25,0.25,0.25,False,False,False,False,False,False
n9181,20929555,What's the wheelchair in front of?,spatial,"[""vest""]",Building,0,Cement,0,Curb,0,Curb,0,Wall,0,Wall,0,Building,0,Building,0,,,0.45,False,True,False,False,False,False
