dataset,image_id,image_ordinal,question_id,question_ordinal,question_type,method,method_key,budget,question,gold,prediction,score,first_token_id,generated_tokens,suffix_ids_sha256,physical_layout,core_ttft_ms,end_to_end_ttft_ms,decode_ms,model_e2e_ms,e2e_ms,ssd_read_ms,ssd_read_bytes,ssd_read_preads,ssd_read_chunk_units,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,selector_ms,scatter_ms,prefill_ms,n_chunks_selected,n_chunks_total,actual_selected_normal_chunk_fraction,actual_total_ssd_byte_ratio,selected_kv_ratio,full_visual_kv_bytes,importance_mass_coverage,static_score_calls,query_score_calls,diversity_calls,vision_forward_count,order_position,order,cache_conditioning_outside_timer,cache_conditioning_end,request_start,store_id,layout_id,artifact_path,artifact_sha256,selected_chunk_ids_per_layer
vqav2,524637,0,524637001,0,yes/no,ReComp,recompute,,Are there magazines on the toilet tank?,"[""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no""]",No,1.0,1939,2,95fc1f04366ba3a88a4de3630fb5a15924acd8dad2616d7c3dc5fc8737b0777c,not_applicable_recompute,549.3700819788501,564.8110720794648,18.882953911088407,583.6940259905532,583.7716420646757,0.0,0,0,0,0,0,0,0,0.0,,549.3699990911409,,,,,,1233125376,,0,0,0,1,2,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,,968243.297167667,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,
vqav2,524637,0,524637001,0,yes/no,FullLoad,fullload,1.0,Are there magazines on the toilet tank?,"[""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no""]",No,1.0,1939,2,95fc1f04366ba3a88a4de3630fb5a15924acd8dad2616d7c3dc5fc8737b0777c,visionzip_image_only,766.6893070563674,766.9829330407083,20.132435020059347,787.1153680607677,787.2453479794785,477.6497585698962,1233125376,64,2368,1233125376,0,64,0,0.0,217.87826961372048,761.4202300319448,,,1.0,1.0,1.0,1233125376,,0,0,0,0,3,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,968243.903235608,968243.903262935,d598415d85940dc8d6298eb6ef40d9b3c3fa8d532742f1fa646a9304deed2769,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,
vqav2,524637,0,524637001,0,yes/no,Prefix25,prefix25,0.25,Are there magazines on the toilet tank?,"[""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no""]",No,1.0,1939,2,95fc1f04366ba3a88a4de3630fb5a15924acd8dad2616d7c3dc5fc8737b0777c,visionzip_image_only,307.230329955928,307.8267789678648,19.775775028392673,327.6025539962575,327.7721479535103,144.3918893346563,327155712,65,576,301989888,25165824,64,1,0.20483718253672123,45.92575191054493,38.75693306326866,9.0,37,0.24324324324324326,0.2653061224489796,0.2653061224489796,1233125376,0.7187908286677849,0,0,0,0,0,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,968242.487793869,968242.487850144,d598415d85940dc8d6298eb6ef40d9b3c3fa8d532742f1fa646a9304deed2769,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,"[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]"
vqav2,524637,0,524637001,0,yes/no,Prefix45,prefix45,0.45,Are there magazines on the toilet tank?,"[""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no"",""no""]",No,1.0,1939,2,95fc1f04366ba3a88a4de3630fb5a15924acd8dad2616d7c3dc5fc8737b0777c,visionzip_image_only,447.2688719397411,447.574233985506,19.61800502613187,467.19223901163787,467.36130700446665,241.1790096666664,595591168,65,1088,570425344,25165824,64,1,0.3529890673235059,82.30234193615615,62.94011604040861,17.0,37,0.4594594594594595,0.48299319727891155,0.48299319727891155,1233125376,0.8858763359295617,0,0,0,0,1,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,968242.829069719,968242.829097784,d598415d85940dc8d6298eb6ef40d9b3c3fa8d532742f1fa646a9304deed2769,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,"[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]]"
vqav2,524637,0,524637002,1,material/attr,ReComp,recompute,,What shape are the floor tiles?,"[""diamonds"",""diamond"",""diamonds"",""square, octagon"",""diamond/square"",""square"",""diamond"",""diamond"",""diamond"",""square""]",Diamond,1.0,22904,3,dc6a35b92895b07b153180b5a5c4b3f1a1ad51a9a245e51fe2ebae1cda24cad4,not_applicable_recompute,538.8094650115818,553.5487339366227,38.36982499342412,591.9185589300469,592.0040749479085,0.0,0,0,0,0,0,0,0,0.0,,538.8093719957396,,,,,,1233125376,,0,0,0,1,1,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,,968245.240871423,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,
vqav2,524637,0,524637002,1,material/attr,FullLoad,fullload,1.0,What shape are the floor tiles?,"[""diamonds"",""diamond"",""diamonds"",""square, octagon"",""diamond/square"",""square"",""diamond"",""diamond"",""diamond"",""square""]",Diamond,1.0,22904,3,dc6a35b92895b07b153180b5a5c4b3f1a1ad51a9a245e51fe2ebae1cda24cad4,visionzip_image_only,746.4628249872476,746.7242740094662,43.566871085204184,790.2911450946704,790.3993939980865,483.1916734110564,1233125376,64,2368,1233125376,0,64,0,0.0,198.58879304956645,741.4895460242406,,,1.0,1.0,1.0,1233125376,,0,0,0,0,2,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,968245.855004872,968245.855034733,d598415d85940dc8d6298eb6ef40d9b3c3fa8d532742f1fa646a9304deed2769,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,
vqav2,524637,0,524637002,1,material/attr,Prefix25,prefix25,0.25,What shape are the floor tiles?,"[""diamonds"",""diamond"",""diamonds"",""square, octagon"",""diamond/square"",""square"",""diamond"",""diamond"",""diamond"",""square""]",Diamond,1.0,22904,3,dc6a35b92895b07b153180b5a5c4b3f1a1ad51a9a245e51fe2ebae1cda24cad4,visionzip_image_only,301.06407799758017,301.33939906954765,38.78255398012698,340.12195304967463,340.2942450484261,149.65236594434828,327155712,65,576,301989888,25165824,64,1,0.2520340494811535,54.432369070127606,61.39345106203109,9.0,37,0.24324324324324326,0.2653061224489796,0.2653061224489796,1233125376,0.7187908286677849,0,0,0,0,3,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,968246.688658134,968246.688687902,d598415d85940dc8d6298eb6ef40d9b3c3fa8d532742f1fa646a9304deed2769,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,"[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]"
vqav2,524637,0,524637002,1,material/attr,Prefix45,prefix45,0.45,What shape are the floor tiles?,"[""diamonds"",""diamond"",""diamonds"",""square, octagon"",""diamond/square"",""square"",""diamond"",""diamond"",""diamond"",""square""]",Diamond,1.0,22904,3,dc6a35b92895b07b153180b5a5c4b3f1a1ad51a9a245e51fe2ebae1cda24cad4,visionzip_image_only,464.8356849793345,465.2500939555466,38.786944933235645,504.03703888878226,505.9788789367303,257.9902622383088,595591168,65,1088,570425344,25165824,64,1,0.4034489393234253,93.14447268843651,43.43031905591488,17.0,37,0.4594594594594595,0.48299319727891155,0.48299319727891155,1233125376,0.8858763359295617,0,0,0,0,0,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,968244.734076852,968244.734109385,d598415d85940dc8d6298eb6ef40d9b3c3fa8d532742f1fa646a9304deed2769,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,"[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]]"
vqav2,524637,0,524637003,2,object,ReComp,recompute,,What is this object called?,"[""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet""]",Toilet,1.0,1763,4,a4b6859bfecd45521d0a3bc06ae9145cbea866b97af86d7c8cac366c84161c29,not_applicable_recompute,538.5486719897017,553.7236579693854,56.39928299933672,610.1229409687221,610.2070750202984,0.0,0,0,0,0,0,0,0,0.0,,538.5486009763554,,,,,,1233125376,,0,0,0,1,0,"[""recompute"",""fullload"",""prefix25"",""prefix45""]",True,,968247.029630641,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,
vqav2,524637,0,524637003,2,object,FullLoad,fullload,1.0,What is this object called?,"[""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet"",""toilet""]",Toilet,1.0,1763,4,a4b6859bfecd45521d0a3bc06ae9145cbea866b97af86d7c8cac366c84161c29,visionzip_image_only,788.0586419487372,788.3341599954292,62.325790990144014,850.6599509855732,850.7754789898172,512.2996781719849,1233125376,64,2368,1233125376,0,64,0,0.0,210.400479612872,783.1430219812319,,,1.0,1.0,1.0,1233125376,,0,0,0,0,1,"[""recompute"",""fullload"",""prefix25"",""prefix45""]",True,968247.652906647,968247.652931683,d598415d85940dc8d6298eb6ef40d9b3c3fa8d532742f1fa646a9304deed2769,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2/images/524637.json,869a0d17f1dd56a151092aac1c86a3c655074f498f79d03d18557c022e5f476c,
