dataset,method_key,method,retention,retention_kind,image_id,question_id,question,prediction,ground_truth,correct,generated_tokens,selector_ms,ssd_read_ms,scatter_ms,prepare_ms,prefill_ms,ttft_ms,decode_ms,e2e_latency_ms,ssd_read_bytes,ssd_read_chunks,ssd_preads,chunk_io_ms,hook_ms,n_chunks_selected,n_chunks_total,touched_chunk_fraction,logical_kv_ratio,fallback_rate
gqa,fullload,FullLoad,1.0,full,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,523.1198638794012,,,811.1130840261467,820.3676270204596,19.536595966201276,839.9042229866609,1124073472,2176,64,,757.2232121019624,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,0.0,,,817.551834974438,817.5521160010248,20.35903901560232,837.9111550166272,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,484.5594290527515,,,930.0688149523921,936.4389989641495,38.35643199272454,974.795430956874,907280384,2724,134,,856.7187221487984,,,0.7518382352941176,0.2462686567164179,0.1875
gqa,static_diverse_chunk@25,Static+Diverse,0.25,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,16.400120861362666,248.2996899052523,54.30273222737014,358.85641298955306,51.32438603322953,410.2444819873199,19.978802010882646,430.22328399820253,281018368,512,273,281.7993210628629,0.0,8.0,34,0.23529411764705882,0.23880597014925373,0.0
gqa,static_diverse_chunk@50,Static+Diverse,0.5,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,22.62724784668535,407.1333088213578,90.06681892788038,595.3135180170648,36.94846702273935,632.3091560043395,20.010907959658653,652.3200639639981,578289664,1088,321,476.0246528312564,0.0,17.0,34,0.5,0.4925373134328358,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,,446.9798151985742,,,697.3724809940904,703.8714219816029,19.916281977202743,723.7877039588057,1124073472,2176,64,,647.1583938109688,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,,0.0,,,497.777478012722,497.77773302048445,19.00679897516966,516.7845319956541,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,,455.2157750586048,,,820.1616570004262,826.5228780219331,51.65286298142746,878.1757410033606,866385920,2644,140,,747.163726889994,,,0.7150735294117647,0.2462686567164179,0.125
gqa,static_diverse_chunk@25,Static+Diverse,0.25,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,16.40523213427514,246.37647008057684,53.50896704476327,355.9216009452939,49.83352596173063,405.82110395189375,19.298705039545894,425.11980899143964,281018368,512,273,279.7134818392806,0.0,8.0,34,0.23529411764705882,0.23880597014925373,0.0
gqa,static_diverse_chunk@50,Static+Diverse,0.5,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,21.067297784611583,408.3857500809245,95.9876379929483,605.113446014002,50.79198401654139,655.9729470172897,19.494845997542143,675.4677930148318,578289664,1088,321,481.5552306245081,0.0,17.0,34,0.5,0.4925373134328358,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,,482.67671890789643,,,774.4131140061654,780.7163650286384,38.320259016472846,819.0366240451112,1124073472,2176,64,,714.4791800528765,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,,0.0,,,456.18969498900697,456.1898900428787,37.328790000174195,493.5186800430529,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,,458.1230421899818,,,806.9732359726913,813.2517029880546,41.59652005182579,854.8482230398804,935591936,2780,138,,742.58034711238,,,0.7775735294117647,0.2462686567164179,0.25
gqa,static_diverse_chunk@25,Static+Diverse,0.25,chunk,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,16.57187397358939,248.74544492922723,54.85649302136153,359.8096059868112,52.627689961809665,412.50762197887525,38.88986399397254,451.3974859728478,281018368,512,273,281.73845884157345,0.0,8.0,34,0.23529411764705882,0.23880597014925373,0.0
gqa,static_diverse_chunk@50,Static+Diverse,0.5,chunk,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,21.11763192806393,416.54672997538,98.86691899737343,616.2136789644137,35.480619000736624,651.7440679599531,38.08732004836202,689.8313880083151,578289664,1088,321,489.7231200011447,0.0,17.0,34,0.5,0.4925373134328358,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,2,,478.71044772909954,,,766.7178909759969,773.5084739979357,19.71634302753955,793.2248170254752,1124073472,2176,64,,710.5221110396087,,,1.0,0.2462686567164179,0.0
