dataset,category_source,category_rule,dataset_interpretation,question_type,method,n_questions,score,score_pct,quality_delta_vs_fullload,quality_delta_vs_fullload_pp
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,ReComp,26,0.9230769230769231,92.3076923076923,0.0,0.0
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,FullLoad,26,0.9230769230769231,92.3076923076923,0.0,0.0
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,Prefix25,26,0.8333333333333333,83.33333333333333,-0.08974358974358987,-8.974358974358987
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,Prefix45,26,0.9358974358974359,93.58974358974359,0.012820512820512775,1.2820512820512775
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,ReComp,7,0.5714285714285714,57.14285714285714,0.0,0.0
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,FullLoad,7,0.5714285714285714,57.14285714285714,0.0,0.0
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,Prefix25,7,0.7142857142857143,71.42857142857143,0.1428571428571429,14.28571428571429
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,Prefix45,7,0.7142857142857143,71.42857142857143,0.1428571428571429,14.28571428571429
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,ReComp,15,0.5333333333333333,53.333333333333336,0.0,0.0
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,FullLoad,15,0.5333333333333333,53.333333333333336,0.0,0.0
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,Prefix25,15,0.5333333333333333,53.333333333333336,0.0,0.0
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,Prefix45,15,0.4666666666666667,46.666666666666664,-0.06666666666666665,-6.666666666666665
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,ReComp,83,0.46987951807228917,46.98795180722892,0.0,0.0
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,FullLoad,83,0.46987951807228917,46.98795180722892,0.0,0.0
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,Prefix25,83,0.46987951807228917,46.98795180722892,0.0,0.0
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,Prefix45,83,0.47791164658634533,47.791164658634536,0.008032128514056158,0.8032128514056158
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,ReComp,5,0.26666666666666666,26.666666666666668,0.0,0.0
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,FullLoad,5,0.26666666666666666,26.666666666666668,0.0,0.0
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,Prefix25,5,0.3333333333333333,33.33333333333333,0.06666666666666665,6.666666666666665
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,Prefix45,5,0.3333333333333333,33.33333333333333,0.06666666666666665,6.666666666666665
textvqa,question-text regex heuristic,^(what|which|who)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,object,ReComp,316,0.6592827004219409,65.92827004219409,0.0,0.0
textvqa,question-text regex heuristic,^(what|which|who)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,object,FullLoad,316,0.6592827004219409,65.92827004219409,0.0,0.0
textvqa,question-text regex heuristic,^(what|which|who)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,object,Prefix25,316,0.6023206751054853,60.232067510548525,-0.05696202531645567,-5.696202531645566
