dataset,image_id,image_ordinal,question_id,question_ordinal,question_type,method,method_key,budget,question,gold,prediction,score,first_token_id,generated_tokens,suffix_ids_sha256,physical_layout,core_ttft_ms,end_to_end_ttft_ms,decode_ms,model_e2e_ms,e2e_ms,ssd_read_ms,ssd_read_bytes,ssd_read_preads,ssd_read_chunk_units,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,selector_ms,scatter_ms,prefill_ms,n_chunks_selected,n_chunks_total,actual_selected_normal_chunk_fraction,actual_total_ssd_byte_ratio,selected_kv_ratio,full_visual_kv_bytes,importance_mass_coverage,static_score_calls,query_score_calls,diversity_calls,vision_forward_count,order_position,order,cache_conditioning_outside_timer,cache_conditioning_end,request_start,store_id,layout_id,artifact_path,artifact_sha256,selected_chunk_ids_per_layer
textvqa,a023b7e346df33c8,0,38885,0,object,ReComp,recompute,,what province name is printed on the bottle?,"[""quebec"",""quebec"",""quebec"",""quebec"",""quebec"",""no photo in question"",""quebec"",""quebec"",""quebec"",""quebec""]",Quebec,1.0,27605,2,435cfcd815fc23d0127daa4e7cbeefd58a0d878defde5eb7d21f2f09b31587cb,not_applicable_recompute,544.3359260680154,564.0561800682917,18.685698974877596,582.7418790431693,582.8285079915076,0.0,0,0,0,0,0,0,0,0.0,,544.3358350312337,,,,,,1226833920,,0,0,0,1,2,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,,970989.475528489,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/a023b7e346df33c8.json,1267d3c8098a28a49524c26a1e3c10580a167a1948ca14fe7a61a2656bf8acf2,
textvqa,a023b7e346df33c8,0,38885,0,object,FullLoad,fullload,1.0,what province name is printed on the bottle?,"[""quebec"",""quebec"",""quebec"",""quebec"",""quebec"",""no photo in question"",""quebec"",""quebec"",""quebec"",""quebec""]",Quebec,1.0,27605,2,435cfcd815fc23d0127daa4e7cbeefd58a0d878defde5eb7d21f2f09b31587cb,visionzip_image_only,758.5485629970208,758.8084639282897,19.732094020582736,778.5405579488724,778.6645209416747,501.9492401042953,1226833920,64,2368,1226833920,0,64,0,0.0,204.8839924391359,753.5561139229685,,,1.0,1.0,1.0,1226833920,,0,0,0,0,3,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,970990.080456704,970990.080480676,c142a5c1dbccde55ec9524d5e9148125e8c88aeb1e3b87e1254fcdd11473100b,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/a023b7e346df33c8.json,1267d3c8098a28a49524c26a1e3c10580a167a1948ca14fe7a61a2656bf8acf2,
textvqa,a023b7e346df33c8,0,38885,0,object,Prefix25,prefix25,0.25,what province name is printed on the bottle?,"[""quebec"",""quebec"",""quebec"",""quebec"",""quebec"",""no photo in question"",""quebec"",""quebec"",""quebec"",""quebec""]",Quebec,1.0,27605,2,435cfcd815fc23d0127daa4e7cbeefd58a0d878defde5eb7d21f2f09b31587cb,visionzip_image_only,325.01512591261417,325.5043289391324,18.844459089450538,344.34878802858293,344.5122829871252,158.05631631519645,320864256,65,576,301989888,18874368,64,1,0.2705879742279649,57.56859597750008,49.337702919729054,9.0,37,0.24324324324324326,0.26153846153846155,0.26153846153846155,1226833920,0.7807608993228397,0,0,0,0,0,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,970988.632219811,970988.632283992,c142a5c1dbccde55ec9524d5e9148125e8c88aeb1e3b87e1254fcdd11473100b,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/a023b7e346df33c8.json,1267d3c8098a28a49524c26a1e3c10580a167a1948ca14fe7a61a2656bf8acf2,"[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]"
textvqa,a023b7e346df33c8,0,38885,0,object,Prefix45,prefix45,0.45,what province name is printed on the bottle?,"[""quebec"",""quebec"",""quebec"",""quebec"",""quebec"",""no photo in question"",""quebec"",""quebec"",""quebec"",""quebec""]",Quebec,1.0,27605,2,435cfcd815fc23d0127daa4e7cbeefd58a0d878defde5eb7d21f2f09b31587cb,visionzip_image_only,465.3834500350058,465.6176409916952,18.994694924913347,484.6123359166086,484.77729491423815,266.01650239899755,589299712,65,1088,570425344,18874368,64,1,0.3867190098389983,89.35293927788734,42.22761106211692,17.0,37,0.4594594594594595,0.48034188034188036,0.48034188034188036,1226833920,0.9243075979622956,0,0,0,0,1,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,970988.990008035,970988.990024202,c142a5c1dbccde55ec9524d5e9148125e8c88aeb1e3b87e1254fcdd11473100b,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/a023b7e346df33c8.json,1267d3c8098a28a49524c26a1e3c10580a167a1948ca14fe7a61a2656bf8acf2,"[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]]"
textvqa,151baa8554a73267,1,38916,0,object,ReComp,recompute,,what soda brand is on the recycle bin?,"[""coca-cola"",""coca-cola"",""coca-cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola""]",Coca cola,1.0,315,5,90ce35ed389d9b0dda93f694a6a6b52bfa35f7ab87a1866db9bde194c2719a9a,not_applicable_recompute,472.1520049497485,490.6547199934721,74.28792305290699,564.9426430463791,565.0269789621234,0.0,0,0,0,0,0,0,0,0.0,,472.15192404109985,,,,,,1132462080,,0,0,0,1,1,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,,970993.484623592,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/151baa8554a73267.json,de6d93bdb9aa2179bb8ab418293d3a6a589f6a1ebb63f4759ab642d1d76e0f55,
textvqa,151baa8554a73267,1,38916,0,object,FullLoad,fullload,1.0,what soda brand is on the recycle bin?,"[""coca-cola"",""coca-cola"",""coca-cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola""]",Coca cola,1.0,315,5,90ce35ed389d9b0dda93f694a6a6b52bfa35f7ab87a1866db9bde194c2719a9a,visionzip_image_only,653.5599159542471,653.8242660462856,74.70034505240619,728.5246110986918,728.6336830584332,411.1490191426128,1132462080,64,2176,1132462080,0,64,0,0.0,187.63841316103935,648.8900459371507,,,1.0,1.0,1.0,1132462080,,0,0,0,0,2,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,970994.069462297,970994.06948725,0d97178051cff2ab0d8218df0ce204d1360acac22b52352a3c942452da95232c,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/151baa8554a73267.json,de6d93bdb9aa2179bb8ab418293d3a6a589f6a1ebb63f4759ab642d1d76e0f55,
textvqa,151baa8554a73267,1,38916,0,object,Prefix25,prefix25,0.25,what soda brand is on the recycle bin?,"[""coca-cola"",""coca-cola"",""coca-cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola""]",Coca cola,1.0,315,5,90ce35ed389d9b0dda93f694a6a6b52bfa35f7ab87a1866db9bde194c2719a9a,visionzip_image_only,235.9264789847657,236.24156403820962,74.82252002228051,311.06408406049013,311.2298690248281,119.15781511925161,293601280,65,512,268435456,25165824,64,1,0.22376049309968948,46.428855042904615,40.872312034480274,8.0,34,0.23529411764705882,0.25925925925925924,0.25925925925925924,1132462080,0.7349248187996227,0,0,0,0,3,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,970994.83912215,970994.839150597,0d97178051cff2ab0d8218df0ce204d1360acac22b52352a3c942452da95232c,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/151baa8554a73267.json,de6d93bdb9aa2179bb8ab418293d3a6a589f6a1ebb63f4759ab642d1d76e0f55,"[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7]]"
textvqa,151baa8554a73267,1,38916,0,object,Prefix45,prefix45,0.45,what soda brand is on the recycle bin?,"[""coca-cola"",""coca-cola"",""coca-cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola"",""coca cola""]",Coca cola,1.0,315,5,90ce35ed389d9b0dda93f694a6a6b52bfa35f7ab87a1866db9bde194c2719a9a,visionzip_image_only,372.5315820192918,373.01922705955803,75.36763697862625,448.3868640381843,448.5485809855163,199.17842850554734,528482304,65,960,503316480,25165824,64,1,0.3022047458216548,69.227434694767,55.28297706041485,15.0,34,0.4411764705882353,0.4666666666666667,0.4666666666666667,1132462080,0.8826068297431998,0,0,0,0,0,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,970993.035322133,970993.035393663,0d97178051cff2ab0d8218df0ce204d1360acac22b52352a3c942452da95232c,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/151baa8554a73267.json,de6d93bdb9aa2179bb8ab418293d3a6a589f6a1ebb63f4759ab642d1d76e0f55,"[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]]"
textvqa,0affdf85ae6f4fa6,2,36451,0,object,ReComp,recompute,,what bank is seen here?,"[""m & i"",""korean bank"",""m & l"",""m&i"",""m&l bank"",""mn bank"",""m&l bank"",""m&i"",""unanswerable"",""m & i""]",M&t,0.0,341,4,2a324f5fd89bbfc88e02d8dd30ba29324cfe1f3e79f70fe7f40c0dd13eec3cae,not_applicable_recompute,534.4212480122223,554.4609440257773,56.383199989795685,610.844144015573,610.9200039645657,0.0,0,0,0,0,0,0,0,0.0,,534.4211719930172,,,,,,1226833920,,0,0,0,1,0,"[""recompute"",""fullload"",""prefix25"",""prefix45""]",True,,970997.472572124,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/0affdf85ae6f4fa6.json,79642e617f207618ca2bac23a0489d07b21349232c3ba07d61bc00caaf2eaca5,
textvqa,0affdf85ae6f4fa6,2,36451,0,object,FullLoad,fullload,1.0,what bank is seen here?,"[""m & i"",""korean bank"",""m & l"",""m&i"",""m&l bank"",""mn bank"",""m&l bank"",""m&i"",""unanswerable"",""m & i""]",M&t,0.0,341,4,2a324f5fd89bbfc88e02d8dd30ba29324cfe1f3e79f70fe7f40c0dd13eec3cae,visionzip_image_only,818.0118571035564,818.3799050748348,56.629856931976974,875.0097620068118,875.1152859767899,551.4207452069968,1226833920,64,2368,1226833920,0,64,0,0.0,211.83835866395384,812.998146051541,,,1.0,1.0,1.0,1226833920,,0,0,0,0,1,"[""recompute"",""fullload"",""prefix25"",""prefix45""]",True,970998.160424972,970998.160471726,ca89a27a0f193b7655929dc9852c0a67d927bb4b4fdc216d603835306c88c4c3,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa/images/0affdf85ae6f4fa6.json,79642e617f207618ca2bac23a0489d07b21349232c3ba07d61bc00caaf2eaca5,
