dataset,image_id,image_ordinal,question_id,question_ordinal,question_type,method,method_key,budget,question,gold,prediction,score,first_token_id,generated_tokens,suffix_ids_sha256,physical_layout,core_ttft_ms,end_to_end_ttft_ms,decode_ms,model_e2e_ms,e2e_ms,ssd_read_ms,ssd_read_bytes,ssd_read_preads,ssd_read_chunk_units,normal_kv_read_bytes,separator_read_bytes,normal_kv_preads,separator_preads,selector_ms,scatter_ms,prefill_ms,n_chunks_selected,n_chunks_total,actual_selected_normal_chunk_fraction,actual_total_ssd_byte_ratio,selected_kv_ratio,full_visual_kv_bytes,importance_mass_coverage,static_score_calls,query_score_calls,diversity_calls,vision_forward_count,order_position,order,cache_conditioning_outside_timer,cache_conditioning_end,request_start,store_id,layout_id,artifact_path,artifact_sha256,selected_chunk_ids_per_layer
gqa_large,n282436,0,20887003,0,object,ReComp,recompute,,What kind of furniture is it?,"[""table""]",Desk,0.0,2726,3,c580f077d55d5918d7239df2ce409df5f14e11d27893b428c6b1bebd32da54cc,not_applicable_recompute,543.7878139782697,558.4589489735663,37.133703008294106,595.5926519818604,595.6689580343664,0.0,0,0,0,0,0,0,0,0.0,,543.7877239892259,,,,,,1226833920,,0,0,0,1,2,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,,964869.63217707,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,
gqa_large,n282436,0,20887003,0,object,FullLoad,fullload,1.0,What kind of furniture is it?,"[""table""]",Desk,0.0,2726,3,c580f077d55d5918d7239df2ce409df5f14e11d27893b428c6b1bebd32da54cc,visionzip_image_only,761.4622010150924,761.745726922527,39.68856704887003,801.434293971397,801.5645429259166,497.03035550192,1226833920,64,2368,1226833920,0,64,0,0.0,210.80154448281974,756.5041439374909,,,1.0,1.0,1.0,1226833920,,0,0,0,0,3,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,964870.249053218,964870.249082323,a1033c0a618ed97b3b487fe7a6136f9c621fc5b1efb36b8c00f4165d92728bdd,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,
gqa_large,n282436,0,20887003,0,object,Prefix25,prefix25,0.25,What kind of furniture is it?,"[""table""]",Desk,0.0,2726,3,c580f077d55d5918d7239df2ce409df5f14e11d27893b428c6b1bebd32da54cc,visionzip_image_only,257.5750990072265,258.0226300051436,38.54400501586497,296.56663502100855,296.7326350044459,110.16584443859756,320864256,65,576,301989888,18874368,64,1,0.22657180670648813,49.496102845296264,42.670598020777106,9.0,37,0.24324324324324326,0.26153846153846155,0.26153846153846155,1226833920,0.7435305164004258,0,0,0,0,0,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,964868.854724732,964868.854780311,a1033c0a618ed97b3b487fe7a6136f9c621fc5b1efb36b8c00f4165d92728bdd,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,"[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]"
gqa_large,n282436,0,20887003,0,object,Prefix45,prefix45,0.45,What kind of furniture is it?,"[""table""]",Desk,0.0,2726,3,c580f077d55d5918d7239df2ce409df5f14e11d27893b428c6b1bebd32da54cc,visionzip_image_only,425.9731729980558,426.2216769857332,38.93685806542635,465.15853505115956,466.50202001910657,219.72991013899446,589299712,65,1088,570425344,18874368,64,1,0.4021191271021962,91.36924741324037,47.41664999164641,17.0,37,0.4594594594594595,0.48034188034188036,0.48034188034188036,1226833920,0.9029828265758746,0,0,0,0,1,"[""prefix25"",""prefix45"",""recompute"",""fullload""]",True,964869.164850124,964869.164873261,a1033c0a618ed97b3b487fe7a6136f9c621fc5b1efb36b8c00f4165d92728bdd,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,"[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]]"
gqa_large,n282436,0,20887451,1,material/attr,ReComp,recompute,,What device is large?,"[""keyboard""]",Computer,0.0,20972,2,ebb3ecfb4b78d5406076c673edc44e0059af064512e5d3af47e4ac13434391dc,not_applicable_recompute,530.6042660959065,545.6595349824056,18.85409199167043,564.513626974076,564.6064599277452,0.0,0,0,0,0,0,0,0,0.0,,530.6041800649837,,,,,,1226833920,,0,0,0,1,1,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,,964871.539695449,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,
gqa_large,n282436,0,20887451,1,material/attr,FullLoad,fullload,1.0,What device is large?,"[""keyboard""]",Computer,0.0,20972,2,ebb3ecfb4b78d5406076c673edc44e0059af064512e5d3af47e4ac13434391dc,visionzip_image_only,767.3134451033548,767.6060240482911,19.84726299997419,787.4532870482653,787.5789559911937,499.0068699698895,1226833920,64,2368,1226833920,0,64,0,0.0,211.35579491965473,762.4219770077616,,,1.0,1.0,1.0,1226833920,,0,0,0,0,2,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,964872.125260581,964872.125287403,a1033c0a618ed97b3b487fe7a6136f9c621fc5b1efb36b8c00f4165d92728bdd,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,
gqa_large,n282436,0,20887451,1,material/attr,Prefix25,prefix25,0.25,What device is large?,"[""keyboard""]",Keyboard,1.0,7670,3,ebb3ecfb4b78d5406076c673edc44e0059af064512e5d3af47e4ac13434391dc,visionzip_image_only,254.41658403724432,256.61722000222653,37.17007604427636,293.7872960465029,293.94749097991735,117.7816876443103,320864256,65,576,301989888,18874368,64,1,0.2503511495888233,52.393115824088454,49.45593397133052,9.0,37,0.24324324324324326,0.26153846153846155,0.26153846153846155,1226833920,0.7435305164004258,0,0,0,0,3,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,964872.95386896,964872.953906609,a1033c0a618ed97b3b487fe7a6136f9c621fc5b1efb36b8c00f4165d92728bdd,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,"[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]"
gqa_large,n282436,0,20887451,1,material/attr,Prefix45,prefix45,0.45,What device is large?,"[""keyboard""]",Keyboard,1.0,7670,3,ebb3ecfb4b78d5406076c673edc44e0059af064512e5d3af47e4ac13434391dc,visionzip_image_only,405.45825799927115,405.84108396433294,38.170288084074855,444.0113720484078,444.1735839936882,208.66568107157946,589299712,65,1088,570425344,18874368,64,1,0.38320827297866344,89.63327331002802,40.483669959940016,17.0,37,0.4594594594594595,0.48034188034188036,0.48034188034188036,1226833920,0.9029828265758746,0,0,0,0,0,"[""prefix45"",""recompute"",""fullload"",""prefix25""]",True,964871.094789617,964871.09481921,a1033c0a618ed97b3b487fe7a6136f9c621fc5b1efb36b8c00f4165d92728bdd,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,"[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]]"
gqa_large,n282436,0,20887460,2,object,ReComp,recompute,,What device is black?,"[""keyboard""]",Keyboard,1.0,7670,3,5e5121bd8392fa3ddd458dab4209bced5d20310b1140b0d632e04ec7047d16c0,not_applicable_recompute,528.0332320835441,542.907229042612,36.716292961500585,579.6235220041126,579.7068410320207,0.0,0,0,0,0,0,0,0,0.0,,528.0331370886415,,,,,,1226833920,,0,0,0,1,0,"[""recompute"",""fullload"",""prefix25"",""prefix45""]",True,,964873.248504951,,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,
gqa_large,n282436,0,20887460,2,object,FullLoad,fullload,1.0,What device is black?,"[""keyboard""]",Keyboard,1.0,7670,3,5e5121bd8392fa3ddd458dab4209bced5d20310b1140b0d632e04ec7047d16c0,visionzip_image_only,747.8872829815373,748.3210020000115,37.98758995253593,786.3085919525474,786.4208950195462,488.59940154943615,1226833920,64,2368,1226833920,0,64,0,0.0,206.32852846756577,742.9201890481636,,,1.0,1.0,1.0,1226833920,,0,0,0,0,1,"[""recompute"",""fullload"",""prefix25"",""prefix45""]",True,964873.846499865,964873.846534658,a1033c0a618ed97b3b487fe7a6136f9c621fc5b1efb36b8c00f4165d92728bdd,,/home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large/images/n282436.json,9f7ecbbe816a845f6e6303df0205d143ce29ef5c08ef19c8ca0fbeab553072af,
