dataset,method_key,method,retention,retention_kind,image_id,question_id,question,prediction,ground_truth,correct,generated_tokens,selector_ms,ssd_read_ms,scatter_ms,prepare_ms,prefill_ms,ttft_ms,decode_ms,e2e_latency_ms,ssd_read_bytes,ssd_read_chunks,ssd_preads,chunk_io_ms,hook_ms,n_chunks_selected,n_chunks_total,touched_chunk_fraction,logical_kv_ratio,fallback_rate
gqa,fullload,FullLoad,1.0,full,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,525.6550566409715,,,803.9810979971662,813.4574299911037,20.33984602894634,833.79727602005,1124073472,2176,64,,743.7657171976753,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,0.0,,,931.9624730269425,931.9627230288461,20.3482229844667,952.3109460133128,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,,460.19246778450906,,,833.2436360069551,839.6676300326362,21.13888500025496,860.8065150328912,907280384,2724,134,,763.8090280233882,,,0.7518382352941176,0.2462686567164179,0.1875
gqa,static_diverse_chunk@10,Static+Diverse,0.1,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,11.972413107287139,150.19558527274057,33.966830116696656,214.61193199502304,42.196438007522374,256.86934002442285,19.758445967454463,276.6277859918773,115343360,192,165,162.9070111666806,0.0,3.0,34,0.08823529411764706,0.1044776119402985,0.0
gqa,static_diverse_chunk@15,Static+Diverse,0.15,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,9.444957773666829,179.05975156463683,32.1011429768987,241.00383702898398,52.224644052330405,293.2765810401179,19.392009999137372,312.66859103925526,182452224,320,195,193.93635296728462,0.0,5.0,34,0.14705882352941177,0.14925373134328357,0.0
gqa,static_diverse_chunk@20,Static+Diverse,0.2,chunk,n355567,201751701,Is the clock to the right of the lady near the tennis ball?,Yes,"[""yes""]",1.0,2,15.463211981114,229.77353679016232,48.31617698073387,327.35952496295795,41.168694966472685,368.57567296829075,19.737948023248464,388.3136209915392,247988224,448,263,257.67403800273314,0.0,7.0,34,0.20588235294117646,0.208955223880597,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,,485.10576103581116,,,766.2283109966666,772.4362079752609,38.02526800427586,810.4614759795368,1124073472,2176,64,,707.099228806328,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,,0.0,,,495.3669219976291,495.3671020339243,19.044720975216478,514.4118230091408,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,,443.53288190905005,,,771.3918479857966,777.7880359790288,20.75911802239716,798.547154001426,866385920,2644,140,,704.2705407948233,,,0.7150735294117647,0.2462686567164179,0.125
gqa,static_diverse_chunk@10,Static+Diverse,0.1,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,8.35145398741588,146.64049627026543,25.437959004193544,195.07767405593768,38.34330500103533,233.46549400594085,18.92601401777938,252.39150802372023,115343360,192,165,156.01657517254353,0.0,3.0,34,0.08823529411764706,0.1044776119402985,0.0
gqa,static_diverse_chunk@15,Static+Diverse,0.15,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,11.945578968152404,185.68540998967364,39.3062669900246,261.09966600779444,37.13997302111238,298.28586999792606,19.054841017350554,317.3407110152766,182452224,320,195,204.15422116639093,0.0,5.0,34,0.14705882352941177,0.14925373134328357,0.0
gqa,static_diverse_chunk@20,Static+Diverse,0.2,chunk,n355567,201751740,Does the person to the left of the lady look happy and modern?,Yes,"[""yes""]",1.0,2,14.589465106837451,231.03735386393964,46.74478416563943,325.0512009835802,56.150154036004096,381.2520549981855,19.96807096293196,401.22012596111745,247988224,448,263,257.7143529779278,0.0,7.0,34,0.20588235294117646,0.208955223880597,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,,478.26765628997236,,,752.7770880260505,759.2146379756741,39.02700898470357,798.2416469603777,1124073472,2176,64,,691.6684798197821,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,,0.0,,,456.35258103720844,456.35286904871464,37.42115298518911,493.77402203390375,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,,506.08603621367365,,,894.7960949735716,901.1916789459065,44.971273047849536,946.162951993756,935591936,2780,138,,814.3352109473199,,,0.7775735294117647,0.2462686567164179,0.25
gqa,static_diverse_chunk@10,Static+Diverse,0.1,chunk,n355567,201751873,How large is the wire net?,The woman is playing tennis.,"[""small""]",0.0,7,10.369900963269174,151.80305793182924,31.105577072594315,210.50690399715677,39.07079604687169,249.62265201611444,111.30301095545292,360.92566297156736,115343360,192,165,163.25109411263838,0.0,3.0,34,0.08823529411764706,0.1044776119402985,0.0
gqa,static_diverse_chunk@15,Static+Diverse,0.15,chunk,n355567,201751873,How large is the wire net?,Small,"[""small""]",1.0,2,13.025273918174207,200.41498797945678,42.532927996944636,283.16214302321896,46.98430496500805,330.2068900084123,19.036668993066996,349.2435590014793,182452224,320,195,221.83604689780623,0.0,5.0,34,0.14705882352941177,0.14925373134328357,0.0
gqa,static_diverse_chunk@20,Static+Diverse,0.2,chunk,n355567,201751873,How large is the wire net?,Large,"[""small""]",0.0,3,13.350603869184852,228.48132462240756,43.64110482856631,316.2506610387936,35.14293098123744,351.44072299590334,38.17529702791944,389.6160200238228,247988224,448,263,253.15240886993706,0.0,7.0,34,0.20588235294117646,0.208955223880597,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,2,,500.3398875705898,,,801.0686979978345,807.4113659677096,25.268048979341984,832.6794149470516,1124073472,2176,64,,731.8823860841803,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,2,,0.0,,,497.5497270352207,497.54997401032597,19.88882600562647,517.4388000159524,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,2,,452.2039662115276,,,811.2572550307959,817.6881780382246,32.88935200544074,850.5775300436653,865337344,2642,134,,731.8298998870887,,,0.7141544117647058,0.2462686567164179,0.125
gqa,static_diverse_chunk@10,Static+Diverse,0.1,chunk,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,Yellow,"[""blond""]",0.0,3,7.831804861780256,147.96856412431225,23.964905994944274,194.524067977909,36.55198204796761,231.1199739924632,38.06808596709743,269.18805995956063,115343360,192,165,157.0181031129323,0.0,3.0,34,0.08823529411764706,0.1044776119402985,0.0
gqa,static_diverse_chunk@15,Static+Diverse,0.15,chunk,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,2,12.253186956513673,188.2596907671541,42.38645371515304,269.0345410373993,47.49881901079789,316.5961870108731,19.27448803326115,335.87067504413426,182452224,320,195,208.57150497613475,0.0,5.0,34,0.14705882352941177,0.14925373134328357,0.0
gqa,static_diverse_chunk@20,Static+Diverse,0.2,chunk,n355567,201751760,What is the color of the lady that is about to hit the tennis ball?,White,"[""blond""]",0.0,2,13.537054939661175,230.12344707967713,45.125633594579995,320.61085698660463,42.5829470041208,363.2576069794595,19.70239501679316,382.9600019962527,247988224,448,263,256.06015004450455,0.0,7.0,34,0.20588235294117646,0.208955223880597,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,2,,498.8783100852743,,,793.5963729978539,800.022748997435,32.37537498353049,832.3981239809655,1124073472,2176,64,,726.0129603091627,,,1.0,0.2462686567164179,0.0
gqa,recompute,ReComp,,none,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,2,,0.0,,,475.02097103279084,475.02118203556165,18.819419958163053,493.8406019937247,0,0,0,,,,,,,
gqa,sparsevlm,SparseVLM,0.25,token,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,2,,485.7015478773974,,,861.4915990037844,867.8399479831569,29.208038991782814,897.0479869749397,943980544,2796,140,,785.2578738820739,,,0.7849264705882353,0.2462686567164179,0.25
gqa,static_diverse_chunk@10,Static+Diverse,0.1,chunk,n355567,201751862,Is the tennis net rectangular and small?,Yes,"[""yes""]",1.0,2,10.509819956496358,149.65939696412534,32.050049980171025,209.87560198409483,35.8425680315122,245.7635219907388,19.894837983883917,265.6583599746227,115343360,192,165,161.62268724292517,0.0,3.0,34,0.08823529411764706,0.1044776119402985,0.0
gqa,static_diverse_chunk@15,Static+Diverse,0.15,chunk,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,2,10.583414230495691,184.01608197018504,36.78254707483575,254.65229101246223,51.76794697763398,306.48285598726943,19.24803201109171,325.73088799836114,182452224,320,195,201.5552149969153,0.0,5.0,34,0.14705882352941177,0.14925373134328357,0.0
gqa,static_diverse_chunk@20,Static+Diverse,0.2,chunk,n355567,201751862,Is the tennis net rectangular and small?,No,"[""yes""]",0.0,2,12.750439054798335,229.0352339623496,42.57590003544465,313.7497550342232,37.557631032541394,351.3552860240452,19.623111002147198,370.9783970261924,247988224,448,263,252.69439711701125,0.0,7.0,34,0.20588235294117646,0.208955223880597,0.0
gqa,fullload,FullLoad,1.0,full,n355567,201751594,What is the lady that is not antique playing with?,Racket,"[""tennis ball""]",0.0,4,,446.7916281428188,,,691.9163379934616,698.3911899733357,70.08371502161026,768.474904994946,1124073472,2176,64,,638.9110200689174,,,1.0,0.2462686567164179,0.0
